generator_model,judge_model,judge_type,questions,sturdy_metric,bm25_metric,sturdy_minus_bm25,both_correct,sturdy_only,bm25_only,both_incorrect,paired_exact_pvalue,sturdy_wins,bm25_wins,ties,sturdy_score_1,sturdy_score_2,sturdy_score_3,sturdy_score_4,sturdy_score_5,bm25_score_1,bm25_score_2,bm25_score_3,bm25_score_4,bm25_score_5,paired_score_1_to_1,paired_score_1_to_2,paired_score_1_to_3,paired_score_1_to_4,paired_score_1_to_5,paired_score_2_to_1,paired_score_2_to_2,paired_score_2_to_3,paired_score_2_to_4,paired_score_2_to_5,paired_score_3_to_1,paired_score_3_to_2,paired_score_3_to_3,paired_score_3_to_4,paired_score_3_to_5,paired_score_4_to_1,paired_score_4_to_2,paired_score_4_to_3,paired_score_4_to_4,paired_score_4_to_5,paired_score_5_to_1,paired_score_5_to_2,paired_score_5_to_3,paired_score_5_to_4,paired_score_5_to_5,paired_delta_-4,paired_delta_-3,paired_delta_-2,paired_delta_-1,paired_delta_+0,paired_delta_+1,paired_delta_+2,paired_delta_+3,paired_delta_+4
google/gemini-2.5-flash,anthropic/claude-haiku-4.5,binary,6173,0.8229386035963066,0.779523732382958,0.04341487121334853,4469.0,611.0,343.0,750.0,3.2680298414986224e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemini-2.5-flash,anthropic/claude-sonnet-4.5,scale-1-5,6173,4.380204114693018,4.208488579296938,0.1717155353960797,,,,,1.4097104709669043e-16,734.0,450.0,4989.0,815.0,162.0,18.0,44.0,5134.0,1054.0,190.0,15.0,70.0,4844.0,455.0,79.0,7.0,16.0,258.0,74.0,29.0,0.0,4.0,55.0,7.0,4.0,2.0,0.0,5.0,11.0,3.0,1.0,3.0,26.0,507.0,75.0,5.0,47.0,4500.0,258.0,71.0,16.0,105.0,4989.0,126.0,15.0,86.0,507.0
google/gemini-2.5-flash,anthropic/claude-sonnet-4,scale-1-5,6173,4.352340839138183,4.182731248987526,0.16960959015065608,,,,,4.0827895803015135e-18,750.0,450.0,4973.0,853.0,173.0,1.0,65.0,5081.0,1126.0,151.0,2.0,84.0,4810.0,501.0,59.0,0.0,22.0,271.0,88.0,22.0,0.0,4.0,59.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,0.0,4.0,34.0,514.0,66.0,2.0,53.0,4446.0,271.0,81.0,4.0,94.0,4973.0,141.0,6.0,89.0,514.0
openai/gpt-4o-mini,anthropic/claude-haiku-4.5,binary,6173,0.8457800097197473,0.8133808520978455,0.03239915762190182,4744.0,477.0,277.0,675.0,3.111221544306373e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openai/gpt-4o-mini,anthropic/claude-sonnet-4.5,scale-1-5,6173,4.4262109185161185,4.301636157459906,0.12457476105621254,,,,,8.655722135527445e-11,553.0,357.0,5263.0,796.0,103.0,4.0,41.0,5229.0,998.0,92.0,3.0,37.0,5043.0,510.0,42.0,1.0,10.0,233.0,51.0,8.0,0.0,2.0,42.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,4.0,25.0,425.0,40.0,2.0,21.0,4741.0,233.0,52.0,5.0,67.0,5263.0,72.0,6.0,50.0,425.0
openai/gpt-4o-mini,anthropic/claude-sonnet-4,scale-1-5,6173,4.421837032237161,4.285598574437064,0.1362384578000972,,,,,1.4883619826766032e-13,572.0,348.0,5253.0,819.0,83.0,0.0,44.0,5227.0,1030.0,74.0,0.0,68.0,5001.0,535.0,37.0,0.0,14.0,233.0,39.0,12.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,32.0,446.0,24.0,0.0,52.0,4705.0,233.0,45.0,1.0,69.0,5253.0,91.0,1.0,34.0,446.0
