dataset,generator,judge,metric,sturdy,bm25,questions,errors
contractnli,google/gemini-2.5-flash,anthropic/claude-haiku-4.5,binary_accuracy,0.822939,0.779524,6173,0
contractnli,google/gemini-2.5-flash,anthropic/claude-sonnet-4.5,mean_score_1_to_5,4.380204,4.208489,6173,0
contractnli,openai/gpt-4o-mini,anthropic/claude-haiku-4.5,binary_accuracy,0.845780,0.813381,6173,0
contractnli,openai/gpt-4o-mini,anthropic/claude-sonnet-4.5,mean_score_1_to_5,4.426211,4.301636,6173,0
bioasq,gpt-4o-mini,gpt-4o-mini,binary_accuracy,0.741965,0.744472,4387,0
bioasq,gpt-5.6-luna,gpt-5.6-luna,binary_accuracy,0.847276,0.842261,4387,0
finqa,gpt-4o-mini,gpt-4o-mini,binary_accuracy,0.409694,0.406975,6251,0
finqa,gpt-5.6-luna,gpt-5.6-luna,binary_accuracy,0.756199,0.759558,6251,0
