scope,dataset,retrieval_method,rows,golden_answer_exact_in_top_1,golden_answer_exact_in_top_2,golden_answer_exact_in_top_3,golden_answer_exact_in_top_4,golden_answer_exact_in_full_doc,top_4_containment_when_possible
all_provided,bioasq,intfloat/e5-small-v2,4719,0.04873913964823056,0.0707777071413435,0.0845518118245391,0.09218054672600128,,
all_provided,bioasq,openai/embedding-model-unspecified,4719,0.049162958253867343,0.07204916295825387,0.08306844670481034,0.08963763509218055,,
all_provided,contractnli,intfloat/e5-small-v2,6173,0.25627733678924347,0.35671472541713917,0.4182731248987526,0.4581240887736919,,
all_provided,contractnli,openai/embedding-model-unspecified,6173,0.37955613154057993,0.4634699497813057,0.49975700631783576,0.5185485177385388,,
all_provided,finqa,intfloat/e5-small-v2,6251,0.00911854103343465,0.013917773156294992,0.015997440409534474,0.01727723564229723,,
all_provided,finqa,openai/embedding-model-unspecified,6251,0.00943848984162534,0.014237721964485682,0.016157414813629818,0.01791713325867861,,
packaged_questions,bioasq,intfloat/e5-small-v2,4387,0.052427627080009115,0.07613403236836107,0.09095053567358104,0.09915659904262594,0.12992933667654433,0.7631578947368421
packaged_questions,bioasq,openai/embedding-model-unspecified,4387,0.0528835194894005,0.07750170959653521,0.0893549122407112,0.09642124458627764,0.12992933667654433,0.7421052631578948
packaged_questions,contractnli,intfloat/e5-small-v2,6173,0.25627733678924347,0.35671472541713917,0.4182731248987526,0.4581240887736919,0.6240077757978293,0.7341640706126686
packaged_questions,contractnli,openai/embedding-model-unspecified,6173,0.37955613154057993,0.4634699497813057,0.49975700631783576,0.5185485177385388,0.6240077757978293,0.8309968847352025
packaged_questions,finqa,intfloat/e5-small-v2,6251,0.00911854103343465,0.013917773156294992,0.015997440409534474,0.01727723564229723,,
packaged_questions,finqa,openai/embedding-model-unspecified,6251,0.00943848984162534,0.014237721964485682,0.016157414813629818,0.01791713325867861,,
