dataset,method,rows,top_1_count,top_1_pct,top_2_count,top_2_pct,top_3_count,top_3_pct,top_4_count,top_4_pct,full_doc_count,full_doc_pct,top_4_when_possible_pct
contractnli,sturdy,6173,2938,47.5944,3322,53.8150,3489,56.5203,3577,57.9459,3852,62.4008,92.8609
contractnli,bm25,6173,1994,32.3020,2635,42.6859,2922,47.3352,3094,50.1215,3852,62.4008,80.3219
contractnli,intfloat/e5-small-v2,6173,1582,25.6277,2202,35.6715,2582,41.8273,2828,45.8124,3852,62.4008,73.4164
contractnli,openai/embedding-model-unspecified,6173,2343,37.9556,2861,46.3470,3085,49.9757,3201,51.8549,3852,62.4008,83.0997
bioasq,sturdy,4387,238,5.4251,319,7.2715,394,8.9811,435,9.9157,570,12.9929,76.3158
bioasq,bm25,4387,256,5.8354,349,7.9553,404,9.2090,443,10.0980,570,12.9929,77.7193
bioasq,intfloat/e5-small-v2,4387,230,5.2428,334,7.6134,399,9.0951,435,9.9157,570,12.9929,76.3158
bioasq,openai/embedding-model-unspecified,4387,232,5.2884,340,7.7502,392,8.9355,423,9.6421,570,12.9929,74.2105
